1	Nan fang yi ke da xue xue bao = Journal of Southern Medical University
2	Viruses
3	The Science of the total environment
4	mBio
5	Current biology : CB
6	Vector borne and zoonotic diseases (Larchmont, N.Y.)
7	Journal of virology
8	Journal of infection and public health
9	International journal of molecular sciences
10	Genes
11	Transboundary and emerging diseases
12	Emerging microbes & infections
13	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases
14	The Journal of biological chemistry
15	Biochimica et biophysica acta. Molecular basis of disease
16	Zoological research
17	Human pathology
18	Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie
19	Nature structural & molecular biology
20	ACS chemical neuroscience
21	Nature
22	Journal of medical virology
23	New microbes and new infections
24	The Indian journal of medical research
25	Journal of genetics
26	ArXiv
27	Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases
28	Genome medicine
29	Autoimmunity reviews
30	Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology]
31	International journal of biological sciences
32	Genomics
33	Veterinary microbiology
34	Indian journal of public health
35	L'Encephale
36	Proceedings of the National Academy of Sciences of the United States of America
37	Journal of chemical information and modeling
38	Journal of medical microbiology
39	Revista espanola de quimioterapia : publicacion oficial de la Sociedad Espanola de Quimioterapia
40	Nature medicine
41	Ecology and evolution
42	The Journal of infection
43	Virus evolution
44	Journal of molecular evolution
45	Infectious diseases of poverty
46	Inflammation and regeneration
47	ChemRxiv : the preprint server for chemistry
48	SSRN
49	Physiological reviews
50	Chaos, solitons, and fractals
51	mSphere
52	Virology journal
53	Cell
54	bioRxiv : the preprint server for biology
55	Medecine sciences : M/S
56	Journal of translational medicine
57	Drug development research
58	The Journal of infectious diseases
59	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
60	JMIR public health and surveillance
61	PeerJ
62	Journal of molecular biology
63	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin
64	Gene
65	Revista espanola de geriatria y gerontologia
66	RNA (New York, N.Y.)
67	Cell reports
68	Inflammatory bowel diseases
