1	SARS-CoV-2
2	coronavirus
3	evolution
4	mutation
5	MD simulations
6	SARS-CoV
7	coronaviruses
8	human infection
9	molecular mechanism
10	protein docking
11	Epidemic
12	Novel coronavirus
13	Public health
14	Respiratory disease
15	COVID-19
16	ORF8
17	natural selection
18	phylogeny
19	vaccines
20	codon usage bias
21	host adaptation
22	mutational bias
23	CoVID-19
24	biodefense
25	pandemic
26	N protein
27	Nsp1
28	positive selection
29	spike protein
30	viral evolution
31	SARS
32	immune evasion
33	immunoglobulin
34	pathogenesis
35	Emergence
36	Prevention
37	Transmission
38	Treatment
39	entry receptor
40	evolutionary adaptation
41	glycosylation
42	hemagglutinin-esterase
43	sialic acid O-acetylation
44	virus–host interaction
45	CpG depletion
46	cytosine deamination
47	mutation bias
48	2019 novel coronavirus
49	2019-nCoV
50	interactome
51	protein-protein interactions
52	structural genomics
53	PHEIC
54	alignment-free phylogeny
55	bioinformatics
56	genomics
57	ACE2
58	Furin
59	Coronavirus
60	Genomic diversity
61	Mutations
62	RNA virus
63	human genetics
64	molecular dynamics
65	molecular evolution
66	post-translational modification (PTM)
67	protein structure
68	receptor structure-function
69	severe acute respiratory coronavirus 2 (SARS-CoV-2)
70	virus entry
71	Comparative genomics
72	Drug target
73	Molecular basis of pathogenesis
74	Molecular evolution
75	HCoV-19
76	Human-to-human transmission
77	Novel pneumonia outbreak
78	Phyloepidemiology
79	Multiorgan failure
80	Secondary bacterial infection
81	Severe acute respiratory syndrome coronavirus 2
82	coexistence
83	viral perspective
84	bat coronavirus
85	disease-X
86	population genetics
87	virus bioinformatics
88	Evolutionary analysis
89	Nigeria
90	preventive measures
91	severe acute respiratory syndrome coronavirus 2
92	transmission chain
93	Host genome interaction - phylogeny - RNA sequence - SARS-CoV-2 - viral type coronavirus
94	Infection follow-up
95	Minority variants
96	NGS
97	Quasispecies
98	Emerging infectious diseases
99	Genomic surveillance
100	Hybrid capture
101	Metatranscriptomic sequencing
102	Multiplex PCR
103	Virus evolution
104	iSNV
105	Bioinformatics
106	Pathogenesis
107	Bat
108	Host
109	pneumonia
110	Genotyping
111	Single-nucleotide polymorphism
112	Animal coronaviruses
113	Genetic plasticity
114	Host switch
115	Novel human coronavirus
116	Tissue tropism
117	coronavirus disease-19
118	severe acute respiratory syndrome coronavirus-2 isolates
119	transmission
120	virulence
121	Drug interactions
122	Intéractions médicamenteuses
123	Psychotropes
124	Psychotropics
125	nucleocapsid
126	pathogenicity
127	broadly neutralizing antivirals
128	docking
129	protein evolution
130	sequence analysis
131	genes
132	SARS‐CoV‐2 evolution
133	primary literature
134	teaching of evolution
135	 India
136	 Kerala
137	 genomes
138	 next-generation sequencing
139	 phylogeny
140	 real-time reverse transcription-polymerase chain reaction
141	 severe acute respiratory syndrome coronavirus 2
142	Epitope
143	RT-qPCR
144	WGS data
145	bioinformatics tool
146	detection
147	diagnosis
148	in silico specificity evaluation
149	mismatches
150	primers and probes
151	Tissue host tropism
152	Viral evolution
153	Zoonotic coronavirus
154	SARS-CoV-2 evolution
155	ancestral type
156	subtype
157	Autophagy
158	Bio-informatic
159	adaptation
160	Coronaviridae
161	FISH
162	HAE
163	NCoV-2019
164	human airway epithelium
165	model
166	Wuhan
167	pp1ab protein
168	virus
169	TMRCA
170	cross-species transmission
171	evolutionary rate
172	potential intermediate animal host
173	Gene
174	Infection
175	Mutation
176	Natural selection
177	coronavirus evolution
178	protein–protein complex
179	virus–host interactions
180	SARS-CoV-2 Spike protein
181	adaptive evolution
182	therapeutic peptides
183	CpG motifs
184	evolution of synonymous mutations
185	pathogen-associated molecular patterns (PAMPs)
186	pattern recognition receptors (PRRs)
187	ssRNA viruses
